الشركة,السوق,الرمز,السنة,الربع,نهاية الفترة,نوع الفترة,المقياس,القيمة,العملة,الوحدة,المصدر
Saudi Arabian Oil Company (Aramco),SA,2222,2023,,2023-12-31,fy,الدخل قبل الضرائب والزكاة,888067000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2023-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2023,,2023-12-31,fy,ضرائب الدخل والزكاة,-433303000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2023-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2023,,2023-12-31,instant,الالتزامات إلى حقوق الملكية,0.4264874859823198771279817074,,ratio,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2023-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2023,,2023-12-31,instant,الطاقة الإنتاجية القصوى المستدامة,12.0,,mmbpd,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2023-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2023,,2023-12-31,instant,صافي الطاقة الإنتاجية للكيماويات,59.6,,million_tonnes_per_year,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2023-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2023,,2023-12-31,fy,صافي الربح,454764000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2023-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2023,,2023-12-31,fy,صافي الربح العائد لمساهمي الشركة,452753000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2023-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2023,,2023-12-31,fy,هامش صافي الربح,0.2750675777438922965908396697,,ratio,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2023-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2023,,2023-12-31,instant,صافي طاقة التكرير,4.1,,mmbpd,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2023-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2023,,2023-12-31,fy,التدفق النقدي التشغيلي,537814000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2023-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2023,,2023-12-31,fy,التكاليف التشغيلية,-988086000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2023-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2023,,2023-12-31,fy,الدخل التشغيلي,868287000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2023-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2023,,2023-12-31,fy,دخل آخر مرتبط بالمبيعات,203092000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2023-english.pdf
Saudi Arabian Oil Company (Aramco),SA,2222,2023,,2023-12-31,fy,التوزيعات المرتبطة بالأداء,74035000000,SAR,SAR,https://www.aramco.com/-/media/publications/corporate-reports/annual-reports/saudi-aramco-ara-2023-english.pdf
